Zip,energy_kwh,capacity_kw,num_projects,energy_per_kw,capacity_factor,avg_project_size,log_energy,kmeans_cluster,zip,lat,lng,cluster,cluster_name
10001,132044,112.49,4,1173.8287847808695,0.13399871972384356,28.1225,11.790898052563117,0,10001,40.75065,-73.99718,0,Medium Production Zone
10002,1030117,877.5600000000001,14,1173.8422444049409,0.13400025621060968,62.682857142857145,13.845183916750763,1,10002,40.7157,-73.98638,1,High Production Zone
10003,410844,350.01,12,1173.8064626724952,0.13399617153795607,29.1675,12.925971293393593,0,10003,40.7318,-73.98911,0,Medium Production Zone
10004,157846,134.47,3,1173.8380307875364,0.13399977520405665,44.82333333333333,11.969381488420675,0,10004,40.69465,-74.02106,0,Medium Production Zone
10005,104765,89.25,1,1173.8375350140057,0.13399971860890475,89.25,11.559484570750183,0,10005,40.70614,-74.00891,0,Medium Production Zone
10007,392812,334.64,2,1173.8345684915132,0.13399937996478462,167.32,12.88108895063781,0,10007,40.71395,-74.00764,0,Medium Production Zone
10009,2645905,2254.01,45,1173.8656882622524,0.13400293245002884,50.089111111111116,14.788524097704759,1,10009,40.72633,-73.97861,1,High Production Zone
10010,663407,565.1800000000001,24,1173.797728157401,0.1339951744471919,23.549166666666668,13.405145464511918,0,10010,40.73911,-73.98265,0,Medium Production Zone
10011,228804,194.92,4,1173.8354196593475,0.1339994771300625,48.73,12.340625391395857,0,10011,40.74187,-74.00052,0,Medium Production Zone
10012,279823,238.38,6,1173.852672204044,0.13400144659863517,39.73,12.541916113088973,0,10012,40.72584,-73.998,0,Medium Production Zone
10013,2747,2.34,1,1173.931623931624,0.13401045935292513,2.34,7.91862865334224,0,10013,40.72022,-74.00463,0,Medium Production Zone
10014,43262,36.86,5,1173.6842105263158,0.1339822158135064,7.372,10.67505304523018,0,10014,40.73374,-74.00687,0,Medium Production Zone
10016,97150,82.76,2,1173.8762687288545,0.13400414026585095,41.38,11.484021748113392,0,10016,40.74515,-73.9783,0,Medium Production Zone
10019,276172,235.26999999999998,7,1173.8513197602756,0.13400129221007712,33.61,12.528782759929154,0,10019,40.7657,-73.98706,0,Medium Production Zone
10021,344719,293.67,7,1173.8311710423263,0.13399899212811944,41.95285714285715,12.75048777228972,0,10021,40.76939,-73.95871,0,Medium Production Zone
10023,13734,11.7,1,1173.8461538461538,0.13400070249385318,11.7,9.527702598529375,0,10023,40.77601,-73.98269,0,Medium Production Zone
10024,126213,107.52,8,1173.8560267857142,0.13400182954174822,13.44,11.745734157960188,0,10024,40.79227,-73.97482,0,Medium Production Zone
10025,403130,343.43,10,1173.834551436974,0.1339993780179194,34.343,12.907016850142343,0,10025,40.79857,-73.96659,0,Medium Production Zone
10026,375187,319.63,20,1173.8166004442637,0.13399732881783832,15.9815,12.83518251266031,0,10026,40.80245,-73.9526,0,Medium Production Zone
10027,1087461,926.44,48,1173.8061828073053,0.13399613958987502,19.300833333333333,13.899357098805735,1,10027,40.81184,-73.9534,1,High Production Zone
10028,24584,20.94,1,1174.0210124164278,0.13402066351785705,20.94,10.10989177984604,0,10028,40.7763,-73.95372,0,Medium Production Zone
10029,601495,512.44,26,1173.786199359925,0.13399385837442065,19.70923076923077,13.307175164333197,0,10029,40.79173,-73.94396,0,Medium Production Zone
10030,512933,436.98,27,1173.8134468396722,0.13399696881731418,16.184444444444445,13.147902460905385,0,10030,40.81823,-73.94288,0,Medium Production Zone
10031,436112,371.53999999999996,36,1173.7955536416,0.1339949262147945,10.320555555555554,12.985656663063239,0,10031,40.82518,-73.95013,0,Medium Production Zone
10032,853831,727.39,28,1173.8283451793397,0.13399866954102055,25.978214285714284,13.657489732107056,1,10032,40.83884,-73.94279,1,High Production Zone
10033,558900,476.14,11,1173.814424328979,0.13399708040285147,43.28545454545454,13.233727634485032,0,10033,40.8506,-73.93391,0,Medium Production Zone
10034,387879,330.45,9,1173.7902859736723,0.1339943248828393,36.71666666666667,12.868451292418483,0,10034,40.86715,-73.9241,0,Medium Production Zone
10035,394009,335.66999999999996,31,1173.7986713140883,0.1339952821134804,10.82806451612903,12.884131568668646,0,10035,40.79551,-73.92967,0,Medium Production Zone
10036,120873,102.97,7,1173.8661746139653,0.13400298796963075,14.709999999999999,11.702503959712066,0,10036,40.75927,-73.98999,0,Medium Production Zone
10037,323324,275.44,7,1173.8454835898926,0.13400062598058135,39.348571428571425,12.686413288283445,0,10037,40.81287,-73.93739,0,Medium Production Zone
10039,415906,354.31,8,1173.8477604357765,0.13400088589449505,44.28875,12.938216956558346,0,10039,40.83076,-73.93619,0,Medium Production Zone
10040,244782,208.54,7,1173.7892011124964,0.13399420104023932,29.791428571428572,12.408127382764487,0,10040,40.85821,-73.93053,0,Medium Production Zone
10044,1158415,986.86,2,1173.8392477149748,0.13399991412271403,493.43,13.962564112672899,1,10044,40.76166,-73.95017,1,High Production Zone
10065,4944,4.21,1,1174.3467933491686,0.1340578531220512,4.21,8.506132244056813,0,10065,40.76474,-73.96314,0,Medium Production Zone
10111,83812,71.4,1,1173.8375350140054,0.13399971860890475,71.4,11.33634340570348,0,10111,40.75892,-73.97746,0,Medium Production Zone
10119,8378,7.14,1,1173.389355742297,0.13394855659158642,7.14,9.033483854613287,0,10119,40.75031,-73.99298,0,Medium Production Zone
10128,2747,2.34,1,1173.931623931624,0.13401045935292513,2.34,7.91862865334224,0,10128,40.78138,-73.95016,0,Medium Production Zone
10278,15107,12.87,1,1173.815073815074,0.13399715454509975,12.87,9.622979683832348,0,10278,40.71514,-74.00377,0,Medium Production Zone
10280,59646,50.81,1,1173.9027750442826,0.13400716610094549,50.81,10.99619913288327,0,10280,40.71025,-74.01672,0,Medium Production Zone
10282,178706,152.24,4,1173.843930635838,0.13400044870272124,38.06,12.09350287217663,0,10282,40.71683,-74.01494,0,Medium Production Zone
10301,6304919,5371.45,554,1173.7834290554692,0.13399354212961978,9.695758122743682,15.656840838958074,1,10301,40.62846,-74.0962,1,High Production Zone
10302,5291861,4508.46,445,1173.762437728182,0.13399114585938152,10.131370786516854,15.481680726779464,1,10302,40.63043,-74.13772,1,High Production Zone
10303,5752648,4901.11,693,1173.7439069924976,0.13398903047859564,7.072308802308802,15.565171002338047,1,10303,40.63239,-74.16905,1,High Production Zone
10304,6249573,5324.3099999999995,695,1173.7808279382682,0.13399324519843245,7.660877697841726,15.648023859389586,1,10304,40.60607,-74.09418,1,High Production Zone
10305,7448558,6346.08,897,1173.7258275975091,0.1339869666207202,7.074782608695652,15.823531148828344,1,10305,40.59538,-74.07543,1,High Production Zone
10306,14646979,12478.369999999999,1523,1173.7894452560713,0.1339942289105104,8.19328299409061,16.49974472883218,1,10306,40.57152,-74.12535,1,High Production Zone
10307,7697520,6557.72,631,1173.8104097155717,0.13399662211364974,10.39258320126783,15.856408886935563,1,10307,40.50794,-74.23965,1,High Production Zone
10308,8271817,7047.16,908,1173.780217846622,0.13399317555326734,7.761189427312775,15.928364873554065,1,10308,40.55152,-74.15038,1,High Production Zone
10309,20645800,17588.48,1193,1173.8251400916963,0.13399830366343568,14.743067896060351,16.84302251529029,1,10309,40.53132,-74.22056,1,High Production Zone
10310,6541290,5572.97,539,1173.7529539904215,0.1339900632409157,10.339461966604825,15.693645104564066,1,10310,40.63236,-74.11616,1,High Production Zone
10312,24110618,20540.73,2279,1173.795575911859,0.13399492875706154,9.013045195261078,16.998162923821976,1,10312,40.54534,-74.18153,1,High Production Zone
10314,50745328,43231.06,2409,1173.8164181030954,0.13399730800263646,17.945645496056454,17.742330132241417,1,10314,40.59913,-74.16572,1,High Production Zone
10451,1377322,1173.3799999999999,36,1173.8072917554416,0.13399626618212804,32.593888888888884,14.135652318105278,1,10451,40.82077,-73.92387,1,High Production Zone
10452,3739030,3185.33,85,1173.828143394876,0.13399864650626436,37.47447058823529,15.134337044911776,1,10452,40.83739,-73.92344,1,High Production Zone
10453,1758247,1497.88,103,1173.823670788047,0.13399813593470858,14.54252427184466,14.37982841667495,1,10453,40.85225,-73.91358,1,High Production Zone
10454,2872674,2447.26,75,1173.8327762477218,0.13399917537074452,32.63013333333333,14.870754209390686,1,10454,40.80549,-73.91661,1,High Production Zone
10455,3050707,2598.92,80,1173.836439751897,0.13399959357898367,32.4865,14.93088425279287,1,10455,40.81478,-73.90862,1,High Production Zone
10456,3385118,2883.82,170,1173.8312377332843,0.1339989997412425,16.96364705882353,15.034899618806598,1,10456,40.83003,-73.90815,1,High Production Zone
10457,2065507,1759.61,103,1173.8436358056615,0.13400041504630839,17.083592233009707,14.540886758965655,1,10457,40.84713,-73.89871,1,High Production Zone
10458,2509008,2137.44,73,1173.8378621154277,0.13399975594924973,29.28,14.735398412428614,1,10458,40.86244,-73.88826,1,High Production Zone
10459,2430007,2070.21,122,1173.7973442307784,0.13399513061995189,16.96893442622951,14.703405107492381,1,10459,40.82585,-73.89289,1,High Production Zone
10460,3015423,2568.89,186,1173.8233244708804,0.13399809640078544,13.811236559139784,14.919251008438348,1,10460,40.84172,-73.87956,1,High Production Zone
10461,3150995,2684.53,351,1173.7603975369989,0.13399091296084464,7.648233618233619,14.963229151300332,1,10461,40.8474,-73.84066,1,High Production Zone
10462,4325238,3684.7,222,1173.8372187695063,0.1339996825079345,16.597747747747746,15.27997795693694,1,10462,40.84269,-73.8586,1,High Production Zone
10463,1722616,1467.5,108,1173.8439522998297,0.13400045117577963,13.587962962962964,14.359355204091486,1,10463,40.88077,-73.90662,1,High Production Zone
10464,848342,722.81,99,1173.6721960127836,0.13398084429369675,7.30111111111111,13.651040314125675,1,10464,40.86793,-73.80051,1,High Production Zone
10465,4282525,3648.66,603,1173.725422483871,0.13398692037487112,6.050845771144278,15.270053580382063,1,10465,40.82391,-73.82298,1,High Production Zone
10466,6465486,5508.3,1007,1173.7715810685693,0.1339921896196997,5.470009930486594,15.681988896043993,1,10466,40.89098,-73.84597,1,High Production Zone
10467,3024162,2576.42,242,1173.7845537606445,0.13399367052062153,10.646363636363636,14.922144916945296,1,10467,40.88081,-73.87392,1,High Production Zone
10468,2267090,1931.35,71,1173.83695342636,0.13399965221762097,27.202112676056338,14.634008069839744,1,10468,40.86804,-73.90006,1,High Production Zone
10469,8322680,7090.5,1040,1173.779000070517,0.13399303653773023,6.817788461538462,15.934494996467581,1,10469,40.86862,-73.84813,1,High Production Zone
10470,2589647,2206.14,138,1173.8362025982033,0.1339995665066442,15.986521739130433,14.767032517103575,1,10470,40.89594,-73.86812,1,High Production Zone
10471,2147689,1829.66,122,1173.81863297006,0.13399756084133105,14.9972131147541,14.579903403897765,1,10471,40.89947,-73.9018,1,High Production Zone
10472,3018207,2571.2799999999997,231,1173.814987088143,0.1339971446447652,11.13108225108225,14.920173835749516,1,10472,40.8295,-73.8694,1,High Production Zone
10473,4376860,3728.9,576,1173.767062672638,0.1339916738210774,6.473784722222223,15.291842358757645,1,10473,40.81819,-73.85878,1,High Production Zone
10474,10396151,8856.54,46,1173.8388806463922,0.1339998722199078,192.53347826086957,16.156946295644712,1,10474,40.81066,-73.8844,1,High Production Zone
10475,552746,470.9,43,1173.807602463368,0.1339963016510694,10.951162790697675,13.222655671296552,0,10475,40.86953,-73.82532,0,Medium Production Zone
10501,145380,123.85,12,1173.8393217601938,0.13399992257536458,10.320833333333333,11.887113161540213,0,10501,41.29448,-73.76075,0,Medium Production Zone
10502,2687185,2289.23,128,1173.8379280369381,0.13399976347453632,17.884609375,14.804005107382755,1,10502,41.01145,-73.84149,1,High Production Zone
10504,4823519,4109.19,96,1173.836936233175,0.13399965025492866,42.80406249999999,15.389014509950895,1,10504,41.13121,-73.70587,1,High Production Zone
10505,531667,452.92,13,1173.8651417468868,0.13400287006243,34.84,13.183774513366819,0,10505,41.3421,-73.74565,0,Medium Production Zone
10506,1018168,867.38,52,1173.8430676289515,0.13400035018595338,16.680384615384614,13.833516474101993,1,10506,41.18883,-73.63393,1,High Production Zone
10507,385991,328.82,22,1173.8671613648805,0.1340031006124293,14.946363636363635,12.863571922843594,0,10507,41.2284,-73.68628,0,Medium Production Zone
10509,2909216,2478.35,160,1173.8519579558981,0.1340013650634587,15.489687499999999,14.883394530776316,1,10509,41.41174,-73.59437,1,High Production Zone
10510,4026116,3429.87,211,1173.8392417205316,0.13399991343841686,16.25530805687204,15.20831294586244,1,10510,41.14094,-73.83447,1,High Production Zone
10511,4290624,3655.2,77,1173.8411030860145,0.13400012592306101,47.47012987012987,15.271942967938474,1,10511,41.26299,-73.94366,1,High Production Zone
10512,4768579,4062.4,228,1173.8329558881449,0.1339991958776421,17.817543859649124,15.377559124624558,1,10512,41.44925,-73.71213,1,High Production Zone
10514,2235061,1904.11,170,1173.8087610484688,0.13399643390964255,11.20064705882353,14.619779526137217,1,10514,41.17308,-73.77091,1,High Production Zone
10516,1651541,1407.02,124,1173.786442268056,0.13399388610365937,11.346935483870968,14.317219954915585,1,10516,41.45334,-73.90241,1,High Production Zone
10517,247154,210.57,23,1173.7379493755045,0.13398835038533158,9.155217391304348,12.41777094915964,0,10517,41.29822,-73.86194,0,Medium Production Zone
10518,103354,88.05,4,1173.8103350369108,0.13399661358868845,22.0125,11.545924943233336,0,10518,41.26778,-73.60032,0,Medium Production Zone
10519,20738,17.67,2,1173.6276174306734,0.13397575541446044,8.835,9.939771264613375,0,10519,41.35021,-73.6557,0,Medium Production Zone
10520,5952543,5071.13,389,1173.8099792353971,0.1339965729720773,13.036323907455014,15.599329249167997,1,10520,41.22059,-73.87156,1,High Production Zone
10522,2072583,1765.68,196,1173.8157537039554,0.13399723215798579,9.008571428571429,14.54430669593019,1,10522,41.01226,-73.86479,1,High Production Zone
10523,14385374,12255.05,249,1173.832338505351,0.1339991254001542,49.217068273092366,16.481722623449688,1,10523,41.06,-73.81892,1,High Production Zone
10524,1381924,1177.26,108,1173.8477481609839,0.13400088449326303,10.900555555555556,14.138988012662018,1,10524,41.37063,-73.92197,1,High Production Zone
10526,133778,113.96000000000001,12,1173.9031239031237,0.13400720592501414,9.496666666666668,11.803944463685573,0,10526,41.29108,-73.66782,0,Medium Production Zone
10527,57923,49.35,6,1173.7183383991894,0.1339861116894052,8.225,10.966887085448493,0,10527,41.31915,-73.76447,0,Medium Production Zone
10528,2025237,1725.32,111,1173.8326803143766,0.13399916441944937,15.543423423423423,14.521197782480764,1,10528,40.97834,-73.72293,1,High Production Zone
10530,4950178,4217.1,244,1173.8346256906405,0.13399938649436535,17.283196721311477,15.41493429550722,1,10530,41.02341,-73.8077,1,High Production Zone
10532,3228504,2750.4,117,1173.8307155322861,0.13399894012925642,23.50769230769231,14.98752973975429,1,10532,41.09912,-73.80003,1,High Production Zone
10533,989226,842.71,93,1173.8628947087373,0.1340026135512257,9.061397849462367,13.804679109040565,1,10533,41.03836,-73.85569,1,High Production Zone
10535,48480,41.3,7,1173.8498789346247,0.13400112773226308,5.8999999999999995,10.788927247593167,0,10535,41.33516,-73.79933,0,Medium Production Zone
10536,1154908,983.9,91,1173.8062811261307,0.13399615081348523,10.812087912087911,13.959532110955315,1,10536,41.26982,-73.68726,1,High Production Zone
10537,151914,129.42,19,1173.8062123319426,0.1339961429602674,6.81157894736842,11.931076432885575,0,10537,41.33785,-73.88514,0,Medium Production Zone
10538,2485100,2117.13,173,1173.806048754682,0.13399612428706414,12.237745664739885,14.725823860550106,1,10538,40.938,-73.75667,1,High Production Zone
10540,117260,99.89999999999999,6,1173.7737737737739,0.133992439928513,16.65,11.672157498539152,0,,,,0,Medium Production Zone
10541,3735497,3182.27,241,1173.8466566319012,0.13400075988948643,13.204439834024896,15.13339170099429,1,10541,41.37973,-73.75123,1,High Production Zone
10543,3054161,2601.84,292,1173.8465854933431,0.13400075176864648,8.91041095890411,14.932015808540509,1,10543,40.95199,-73.73552,1,High Production Zone
10546,246576,210.05,21,1173.8919304927397,0.13400592813844062,10.002380952380953,12.415429596911675,0,10546,41.19552,-73.79992,0,Medium Production Zone
10547,3394693,2891.95,185,1173.8422171890938,0.13400025310377783,15.632162162162162,15.037724182364887,1,10547,41.31169,-73.84622,1,High Production Zone
10548,2475550,2108.92,97,1173.8472772793657,0.13400083073965363,21.741443298969074,14.721973555470004,1,10548,41.2472,-73.93496,1,High Production Zone
10549,9676282,8243.29,186,1173.8373877420302,0.1339997017970354,44.31876344086022,16.085188397907338,1,10549,41.20069,-73.72098,1,High Production Zone
10550,2626627,2237.61,131,1173.853799366288,0.1340015752701242,17.080992366412215,14.781211452245417,1,10550,40.90625,-73.83505,1,High Production Zone
10552,617671,526.2,73,1173.833143291524,0.13399921727072192,7.208219178082192,13.333712851208627,0,10552,40.9238,-73.82509,0,Medium Production Zone
10553,721012,614.25,53,1173.8087098087099,0.133996428060355,11.589622641509434,13.488412446617714,1,10553,40.90854,-73.82173,1,High Production Zone
10560,799750,681.3100000000001,35,1173.8415699167779,0.13400017921424404,19.466,13.59205570820173,1,10560,41.33202,-73.60221,1,High Production Zone
10562,9794597,8344.2,668,1173.820977445411,0.13399782847550357,12.491317365269461,16.097341567170933,1,10562,41.19242,-73.83096,1,High Production Zone
10566,8165099,6956.08,515,1173.8075180273947,0.13399629201225968,13.506951456310679,15.915379531709132,1,10566,41.28919,-73.91845,1,High Production Zone
10567,14175885,12076.529999999999,529,1173.837600701526,0.13399972610748015,22.828979206049148,16.467052910033942,1,10567,41.28896,-73.89799,1,High Production Zone
10570,3990960,3400.01,221,1173.808312328493,0.13399638268590103,15.384660633484163,15.199542611996154,1,10570,41.13006,-73.7872,1,High Production Zone
10573,5561317,4737.88,440,1173.798618791527,0.13399527611775422,10.767909090909091,15.531345688494481,1,10573,41.0168,-73.67728,1,High Production Zone
10576,793546,676.01,56,1173.8672504844603,0.1340031107858973,12.071607142857143,13.584268048448438,1,10576,41.21336,-73.57373,1,High Production Zone
10577,5102483,4346.84,40,1173.8373163033375,0.1339996936419335,108.671,15.445238037943435,1,10577,41.03786,-73.71367,1,High Production Zone
10578,36752,31.31,4,1173.8102842542319,0.133996607791579,7.8275,10.511975133962281,0,10578,41.31739,-73.67446,0,Medium Production Zone
10579,1260374,1073.69,77,1173.8714153992307,0.13400358623278888,13.944025974025974,14.046919853695517,1,10579,41.39377,-73.83614,1,High Production Zone
10580,1828030,1557.34,139,1173.8156086660588,0.13399721560114827,11.20388489208633,14.418749989276948,1,10580,40.97889,-73.69306,1,High Production Zone
10583,5321520,4533.4,394,1173.8474434199497,0.1340008497054737,11.506091370558375,15.487269722711204,1,10583,40.98924,-73.7931,1,High Production Zone
10587,15073,12.84,2,1173.9096573208724,0.13400795174895802,6.42,9.620726684403415,0,,,,0,Medium Production Zone
10588,605105,515.53,58,1173.753224836576,0.13399009415942648,8.888448275862068,13.313158928277662,0,10588,41.33533,-73.82183,0,Medium Production Zone
10589,639296,544.63,30,1173.8170868295908,0.13399738434127748,18.154333333333334,13.368124414111241,0,10589,41.32994,-73.69523,0,Medium Production Zone
10590,746637,636.0600000000001,62,1173.8468069050089,0.13400077704395078,10.259032258064517,13.523335741568946,1,10590,41.25393,-73.53733,1,High Production Zone
10591,7479950,6372.3,253,1173.822638607724,0.13399801810590456,25.18695652173913,15.827736799127065,1,10591,41.08586,-73.84417,1,High Production Zone
10594,1591402,1355.75,88,1173.8167066199521,0.1339973409383507,15.40625,14.280126575056382,1,10594,41.11637,-73.77267,1,High Production Zone
10595,3853181,3282.58,143,1173.8269897458706,0.13399851481117245,22.955104895104895,15.164409858412776,1,10595,41.08646,-73.78201,1,High Production Zone
10596,621949,529.82,62,1173.8873579706315,0.134005406161031,8.545483870967743,13.34061498263811,0,10596,41.25608,-73.95911,0,Medium Production Zone
10597,85288,72.66,5,1173.795761078998,0.1339949498948628,14.532,11.353800768540468,0,10597,41.29406,-73.59682,0,Medium Production Zone
10598,7740404,6594.08,399,1173.8413849998788,0.13400015810500898,16.526516290726818,15.861964569778369,1,10598,41.2819,-73.79328,1,High Production Zone
